claim,label,response
Extreme weather events are not linked to climate change.,refute,other
Wind and solar energy are less efficient than coal and oil in reducing emissions.,refute,refute
The ozone layer is unaffected by human-made chemicals.,refute,other
Climate change is a myth perpetuated by the media to manipulate public opinion.,refute,refute
There is no scientific consensus on the causes of climate change.,refute,refute
Burning fossil fuels has no impact on the Earth's climate.,refute,refute
The Arctic sea ice extent has been stable over the past decades.,refute,refute
Human activities have no influence on global temperatures.,refute,other
Deforestation does not contribute to climate change.,refute,other
Melting glaciers are not related to human-induced global warming.,refute,refute
Ocean acidification is a natural phenomenon unrelated to CO₂ emissions.,refute,refute
The Paris Agreement has no role in addressing climate change issues.,refute,refute
Renewable energy sources like wind and solar are not effective in combating climate change.,refute,refute
Heatwaves and extreme weather events are not becoming more frequent.,refute,refute
Climate change does not affect biodiversity or ecosystems.,refute,other
Global warming predictions are based on flawed computer models.,refute,support
CO₂ levels have no correlation with rising global temperatures.,refute,other
Sea level rise is a natural fluctuation and not caused by climate change.,refute,refute
Methane emissions from agriculture are negligible and do not contribute to climate change.,refute,refute
The Amazon rainforest does not play a significant role in regulating the Earth's climate.,refute,other
Climate change policies harm the economy without providing environmental benefits.,refute,other
Polar bear populations are thriving and unaffected by climate change.,refute,refute
"The sun, not human activity, is the main driver of recent climate change.",refute,refute
Maradona was a great artist,other,other
Science is always evolving.,other,other
Time travel will be possible in the next decade.,other,other
The Earth is flat.,other,other
Humans have never been to Mars.,other,other
Electric cars are the future of transportation.,other,other
Water boils at 100°C under standard atmospheric pressure.,other,other
Birds can speak human languages if trained correctly.,other,other
The Eiffel Tower is located in Berlin.,other,other
Recycling helps reduce waste and conserve resources.,other,other
The sun is a planet.,other,other
"Nature-based solutions, such as reforestation and ecosystem restoration, are effective strategies to mitigate climate change and build resilience.",other,other
"The increase in global temperatures is linked to human activities, but it has no effect on the environment.",other,other
"Renewable energy sources are essential for reducing emissions, yet they are not cost-effective in the long run.",other,other
"Climate change is causing more extreme weather events, and it will create interdimensional tornados",other,other
"Deforestation accelerates climate change, and affects football players.",other,other
"Rising sea levels threaten coastal cities, and it will bring sharks so people won't be able to swim.",other,other
Soil acidification is endangering crops and farming explotations,other,other
Peppers from the land will grow in worse condition due to rising temperatures caused by climate change,other,other
Ski resorts are closing because there are less precipitations every year,other,other
Switching to electric vehicles will completely reverse climate change and eliminate all emissions,other,other
"Planting trees in urban areas reduces city temperatures, but it creates time-space anomalies.",other,other
"The melting of Arctic ice is accelerating, and it will reveal ancient, predatory species.",other,other
Carbon capture technology will make fossil fuels completely sustainable and solve all energy issues.,other,other
"Solar panels can power homes efficiently, but they also emit harmful rays that mutate plants.",other,refute
"Recycling plastics can significantly reduce ocean pollution, but it makes water toxic to marine life.",other,other
"Climate change will result in rising sea levels, but it will create new islands made of floating debris.",other,other
"Reducing meat consumption will decrease greenhouse gas emissions, but it will lead to widespread crop shortages.",other,other
